Paladin winrate,Paladin played,Rogue winrate,Rogue played,Mage winrate,Mage played,Druid winrate,Druid played,Demonhunter winrate,Demonhunter played,Hunter winrate,Hunter played,Priest winrate,Priest played,Shaman winrate,Shaman played,Warlock winrate,Warlock played,Warrior winrate,Warrior played
0.5698924731182796,93,0.5536480686695279,233,0.42028985507246375,69,0.5100401606425703,249,0.46766169154228854,201,0.47058823529411764,68,0.5247524752475248,101,0.33707865168539325,89,0.45925925925925926,135,0.5581395348837209,172
0.46875,128,0.5555555555555556,315,0.48366013071895425,153,0.5472527472527473,455,0.44696969696969696,264,0.4444444444444444,162,0.5207100591715976,338,0.39855072463768115,138,0.49606299212598426,254,0.4963144963144963,407
0.4968944099378882,161,0.43508771929824563,285,0.3893129770992366,131,0.6102941176470589,408,0.46638655462184875,238,0.3418803418803419,117,0.6071428571428571,252,0.44144144144144143,111,0.49640287769784175,139,0.4845679012345679,324
0.46846846846846846,111,0.5031847133757962,157,0.46153846153846156,91,0.5514018691588785,321,0.46060606060606063,165,0.5287356321839081,87,0.5792079207920792,202,0.3673469387755102,49,0.45714285714285713,70,0.4439461883408072,223
0.47058823529411764,119,0.46258503401360546,147,0.5,144,0.5192307692307693,312,0.4316546762589928,139,0.4461538461538462,65,0.5662100456621004,219,0.41025641025641024,39,0.5121951219512195,82,0.5204081632653061,196
0.5384615384615384,260,0.48,300,0.47560975609756095,246,0.5553505535055351,542,0.41899441340782123,179,0.461038961038961,154,0.5028409090909091,352,0.3951612903225806,124,0.4527363184079602,201,0.5319634703196348,438
0.5733333333333334,300,0.46273291925465837,322,0.46830985915492956,284,0.5577981651376147,545,0.4207650273224044,183,0.4567307692307692,208,0.5618556701030928,388,0.46308724832214765,149,0.5198019801980198,202,0.42482100238663484,419
0.5647668393782384,193,0.5130718954248366,306,0.48148148148148145,162,0.5518072289156627,415,0.5299539170506913,217,0.391304347826087,184,0.5083056478405316,301,0.38524590163934425,122,0.44654088050314467,159,0.4948453608247423,291
0.532871972318339,289,0.5460992907801419,282,0.33,100,0.5358090185676393,377,0.5,124,0.5056179775280899,178,0.5111821086261981,313,0.390625,64,0.4461538461538462,130,0.4605809128630705,241
0.4885844748858447,219,0.48148148148148145,135,0.39805825242718446,103,0.572347266881029,311,0.44375,160,0.42045454545454547,88,0.5492957746478874,213,0.4358974358974359,39,0.5185185185185185,81,0.4970414201183432,169
0.5291666666666667,240,0.5723684210526315,152,0.453781512605042,119,0.48255813953488375,344,0.4726027397260274,146,0.2876712328767123,73,0.5380952380952381,210,0.42105263157894735,38,0.47297297297297297,74,0.5543478260869565,184
0.5153203342618384,359,0.512280701754386,285,0.43555555555555553,225,0.5357142857142857,560,0.5214723926380368,163,0.46357615894039733,151,0.5028409090909091,352,0.5138888888888888,72,0.5,194,0.45821325648414984,347
0.5591836734693878,490,0.4745222929936306,314,0.4632352941176471,272,0.5148809523809523,672,0.48148148148148145,189,0.5411255411255411,231,0.5058548009367682,427,0.3793103448275862,87,0.4879032258064516,248,0.4593908629441624,394
0.5231788079470199,302,0.45229681978798586,283,0.45985401459854014,137,0.5378323108384458,489,0.5145631067961165,206,0.4785714285714286,140,0.563076923076923,325,0.36507936507936506,63,0.5064935064935064,154,0.43252595155709345,289
0.5263157894736842,323,0.48717948717948717,234,0.5,128,0.4834710743801653,484,0.4581005586592179,179,0.5528455284552846,123,0.5241379310344828,290,0.5238095238095238,63,0.48936170212765956,141,0.4867924528301887,265
0.43870967741935485,155,0.5225225225225225,222,0.5230769230769231,130,0.5264550264550265,378,0.4152046783625731,171,0.37333333333333335,75,0.5577889447236181,199,0.38095238095238093,42,0.5918367346938775,98,0.5,170
0.41638225255972694,293,0.48081841432225064,391,0.5084269662921348,356,0.503725782414307,671,0.5198019801980198,202,0.3931034482758621,145,0.5225806451612903,465,0.4339622641509434,53,0.5137254901960784,255,0.579250720461095,347
0.45933014354066987,209,0.48742138364779874,318,0.5123674911660777,283,0.48141263940520446,538,0.5,206,0.48226950354609927,141,0.5460122699386503,326,0.32142857142857145,56,0.5284974093264249,193,0.5357142857142857,308
0.4358974358974359,156,0.4594594594594595,185,0.43169398907103823,183,0.5232558139534884,344,0.48717948717948717,156,0.5135135135135135,74,0.5234375,256,0.38095238095238093,21,0.5967741935483871,124,0.5376884422110553,199
0.4435483870967742,124,0.5154639175257731,194,0.49032258064516127,155,0.46726190476190477,336,0.5537190082644629,121,0.4722222222222222,72,0.5152671755725191,262,0.5,20,0.41304347826086957,92,0.5792079207920792,202
0.4434389140271493,221,0.4970588235294118,340,0.47678018575851394,323,0.49421965317919075,692,0.46842105263157896,190,0.40963855421686746,166,0.5560439560439561,455,0.5,58,0.5041666666666667,240,0.547911547911548,407
0.5454545454545454,242,0.46938775510204084,441,0.43217665615141954,317,0.4899598393574297,747,0.4980544747081712,257,0.487012987012987,154,0.5065666041275797,533,0.3888888888888889,72,0.5272108843537415,294,0.571764705882353,425
0.48314606741573035,178,0.468013468013468,297,0.5,210,0.4904214559386973,522,0.48314606741573035,178,0.3893129770992366,131,0.5660377358490566,318,0.375,40,0.5683060109289617,183,0.5243445692883895,267
0.46078431372549017,204,0.5,326,0.48623853211009177,218,0.4708333333333333,480,0.5686274509803921,204,0.547945205479452,146,0.509493670886076,316,0.3902439024390244,41,0.5317073170731708,205,0.4964788732394366,284
0.5217391304347826,92,0.5023923444976076,209,0.4222222222222222,135,0.49834983498349833,303,0.5443037974683544,158,0.46846846846846846,111,0.5285714285714286,210,0.5,22,0.44680851063829785,94,0.5202020202020202,198
